"type","city","year","n"
"10.11.11.40.00. (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) - Kilogram","Adana-1","1994","133000.0"
"","","1995","275000.0"
"","","1996","356500.0"
"","","1997","542000.0"
"","","1998","1225000.0"
"","","1999","1795000.0"
"","","2000","2327000.0"
"","","2001","3143000.0"
"","","2002","4738000.0"
"","","2003","7000.0"
"","","2004","7896.0"
"","","2005","8.16"
"","","2006","10.25"
"","","2007","11.0"
"","","2008","13.89"
"","","2009","18.04"
"","","2010","19.11"
"","","2011","20.11"
"","","2012","17.47"
"","","2013","15.4"
"","","2014","17.09"
"","","2015","20.17"
"","","2016","23.43"
"","Adıyaman-2","1994","114000.0"
"","","1995","272000.0"
"","","1996","329000.0"
"","","1997","559000.0"
"","","1998","1374000.0"
"","","1999","1922000.0"
"","","2000","2713500.0"
"","","2001","3431000.0"
"","","2002","5478000.0"
"","","2003","9110.0"
"","","2004","9563.0"
"","","2005","9.89"
"","","2006","10.12"
"","","2007","8.5"
"","","2008","9.72"
"","","2009","14.49"
"","","2010","20.46"
"","","2011","19.89"
"","","2012","18.53"
"","","2013","17.63"
"","","2014","16.92"
"","","2015","20.42"
"","","2016","22.19"
"","Afyonkarahisar-3","1994","148000.0"
"","","1995","298000.0"
"","","1996","358000.0"
"","","1997","656000.0"
"","","1998","1470000.0"
"","","1999","2091000.0"
"","","2000","2843833.0"
"","","2001","3172000.0"
"","","2002","5389000.0"
"","","2003","7578.0"
"","","2004","8433.0"
"","","2005","8.72"
"","","2006","9.85"
"","","2007","12.5"
"","","2008","13.09"
"","","2009","14.0"
"","","2010","18.71"
"","","2011","16.31"
"","","2012","16.29"
"","","2013","16.63"
"","","2014","19.23"
"","","2015","23.63"
"","","2016","27.38"
"","Ağrı-4","1994","82000.0"
"","","1995","180000.0"
"","","1996","250000.0"
"","","1997","500000.0"
"","","1998","1500000.0"
"","","1999","2000000.0"
"","","2000","2346667.0"
"","","2001","3444000.0"
"","","2002","4500000.0"
"","","2003","7000.0"
"","","2004","8000.0"
"","","2005","8.27"
"","","2006","8.67"
"","","2007","8.0"
"","","2008","10.33"
"","","2009","13.17"
"","","2010","19.75"
"","","2011","18.57"
"","","2012","18.24"
"","","2013","15.31"
"","","2014","16.65"
"","","2015","19.7"
"","","2016","22.81"
"","Aksaray-68","1994","132000.0"
"","","1995","297000.0"
"","","1996","383000.0"
"","","1997","800000.0"
"","","1998","1366000.0"
"","","1999","1800000.0"
"","","2000","2604167.0"
"","","2001","2838000.0"
"","","2002","5143000.0"
"","","2003","7500.0"
"","","2004","7100.0"
"","","2005","7.34"
"","","2006","10.75"
"","","2007","8.6"
"","","2008","11.85"
"","","2009","14.94"
"","","2010","22.05"
"","","2011","20.03"
"","","2012","21.11"
"","","2013","18.59"
"","","2014","17.82"
"","","2015","21.21"
"","","2016","27.25"
"","Amasya-5","1994","135000.0"
"","","1995","226000.0"
"","","1996","327500.0"
"","","1997","562000.0"
"","","1998","1437000.0"
"","","1999","1846000.0"
"","","2000","2593000.0"
"","","2001","3625000.0"
"","","2002","4937000.0"
"","","2003","8425.0"
"","","2004","8660.0"
"","","2005","8.95"
"","","2006","9.2"
"","","2007","13.0"
"","","2008","13.16"
"","","2009","15.12"
"","","2010","20.0"
"","","2011","18.28"
"","","2012","16.7"
"","","2013","16.14"
"","","2014","18.48"
"","","2015","23.12"
"","","2016","24.7"
"","Ankara-6","1994","147000.0"
"","","1995","264000.0"
"","","1996","370500.0"
"","","1997","633000.0"
"","","1998","1526000.0"
"","","1999","2161000.0"
"","","2000","2576500.0"
"","","2001","3360000.0"
"","","2002","5085000.0"
"","","2003","8396.0"
"","","2004","9360.0"
"","","2005","9.68"
"","","2006","10.17"
"","","2007","9.1"
"","","2008","10.58"
"","","2009","13.51"
"","","2010","17.7"
"","","2011","17.79"
"","","2012","18.09"
"","","2013","15.28"
"","","2014","17.14"
"","","2015","20.87"
"","","2016","23.74"
"","Antalya-7","1994","190000.0"
"","","1995","309000.0"
"","","1996","380500.0"
"","","1997","392000.0"
"","","1998","1330000.0"
"","","1999","2210000.0"
"","","2000","2841333.0"
"","","2001","3143000.0"
"","","2002","4738000.0"
"","","2003","7758.0"
"","","2004","10196.0"
"","","2005","10.54"
"","","2006","11.14"
"","","2007","6.8"
"","","2008","9.47"
"","","2009","13.02"
"","","2010","17.97"
"","","2011","19.02"
"","","2012","18.06"
"","","2013","15.97"
"","","2014","16.09"
"","","2015","19.95"
"","","2016","21.51"
"","Ardahan-75","1994","123000.0"
"","","1995","247000.0"
"","","1996","295500.0"
"","","1997","552000.0"
"","","1998","1450000.0"
"","","1999","1650000.0"
"","","2000","2525000.0"
"","","2001","2750000.0"
"","","2002","5000000.0"
"","","2003","8200.0"
"","","2004","8500.0"
"","","2005","8.79"
"","","2006","9.5"
"","","2007","10.0"
"","","2008","11.86"
"","","2009","13.49"
"","","2010","19.76"
"","","2011","19.36"
"","","2012","19.22"
"","","2013","14.38"
"","","2014","15.32"
