type,city,year,n
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,1994,133e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,1995,275e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,1996,356500
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,1997,542e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,1998,1225e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,1999,1795e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2000,2327e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2001,3143e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2002,4738e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2003,7e3
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2004,7896
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2005,8.16
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2006,10.25
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2007,11
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2008,13.89
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2009,18.04
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2010,19.11
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2011,20.11
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2012,17.47
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2013,15.4
" (Sığır Veya Dana Karkasları, Yarım Veya Çeyrek Kemikli Karkasları, Taze Veya Soğutulmuş) ",Adana,2014,17.09
