type,year,city,n
Yerli,2000,Adana,58597
Yerli,2000,Adiyaman,2200
Yerli,2000,Afyonkarahisar,0
Yerli,2000,Agri,0
Yerli,2000,Aksaray,0
Yerli,2000,Amasya,0
Yerli,2000,Ankara,257350
Yerli,2000,Antalya,63097
Yerli,2000,Ardahan,0
Yerli,2000,Artvin,0
Yerli,2000,Aydin,7500
Yerli,2000,Balikesir,0
Yerli,2000,Bartin,12000
Yerli,2000,Batman,33094
Yerli,2000,Bayburt,0
Yerli,2000,Bilecik,0
Yerli,2000,Bingol,0
Yerli,2000,Bitlis,0
Yerli,2000,Bolu,0
Yerli,2000,Burdur,0
Yerli,2000,Bursa,95048
Yerli,2000,Canakkale,0
Yerli,2000,Cankiri,0
Yerli,2000,Corum,13806
Yerli,2000,Denizli,0
Yerli,2000,Diyarbakir,61368
Yerli,2000,Duzce,0
Yerli,2000,Edirne,19500
Yerli,2000,Elazig,7550
Yerli,2000,Erzincan,0
Yerli,2000,Erzurum,36612
Yerli,2000,Eskisehir,7000
Yerli,2000,Gaziantep,0
Yerli,2000,Giresun,5378
Yerli,2000,Gumushane,0
Yerli,2000,Hakkari,0
Yerli,2000,Hatay,5000
Yerli,2000,Igdir,0
Yerli,2000,Isparta,12000
Yerli,2000,Istanbul,1402052
Yerli,2000,Izmir,83848
Yerli,2000,Kahramanmaras,0
Yerli,2000,Karabuk,0
Yerli,2000,Karaman,0
Yerli,2000,Kars,0
Yerli,2000,Kastamonu,0
Yerli,2000,Kayseri,0
Yerli,2000,Kilis,0
Yerli,2000,Kirikkale,0
Yerli,2000,Kirklareli,0
Yerli,2000,Kirsehir,0
Yerli,2000,Kocaeli,10928
Yerli,2000,Konya,22022
Yerli,2000,Kutahya,0
Yerli,2000,Malatya,9400
Yerli,2000,Manisa,0
Yerli,2000,Mardin,0
Yerli,2000,Mersin,8000
Yerli,2000,Mugla,800
Yerli,2000,Mus,0
Yerli,2000,Nevsehir,0
Yerli,2000,Nigde,0
Yerli,2000,Ordu,0
Yerli,2000,Osmaniye,0
Yerli,2000,Rize,0
Yerli,2000,Sakarya,0
Yerli,2000,Samsun,21855
Yerli,2000,Sanliurfa,0
Yerli,2000,Siirt,0
Yerli,2000,Sinop,0
Yerli,2000,Sirnak,0
Yerli,2000,Sivas,30784
Yerli,2000,Tekirdag,0
Yerli,2000,Tokat,0
Yerli,2000,Trabzon,41189
Yerli,2000,Tunceli,0
Yerli,2000,Usak,0
Yerli,2000,Van,34148
Yerli,2000,Yalova,7540
Yerli,2000,Yozgat,0
Yerli,2000,Zonguldak,6400
Yerli,2001,Adana,10437
Yerli,2001,Adiyaman,0
Yerli,2001,Afyonkarahisar,0
Yerli,2001,Agri,0
Yerli,2001,Aksaray,0
Yerli,2001,Amasya,0
Yerli,2001,Ankara,195142
Yerli,2001,Antalya,100024
Yerli,2001,Ardahan,0
Yerli,2001,Artvin,0
Yerli,2001,Aydin,11538
Yerli,2001,Balikesir,0
Yerli,2001,Bartin,12200
Yerli,2001,Batman,0
Yerli,2001,Bayburt,0
Yerli,2001,Bilecik,0
Yerli,2001,Bingol,0
Yerli,2001,Bitlis,0
Yerli,2001,Bolu,0
Yerli,2001,Burdur,0
Yerli,2001,Bursa,43012
Yerli,2001,Canakkale,0
Yerli,2001,Cankiri,0
Yerli,2001,Corum,200
Yerli,2001,Denizli,0
Yerli,2001,Diyarbakir,25666
Yerli,2001,Duzce,0
Yerli,2001,Edirne,30000
Yerli,2001,Elazig,0
Yerli,2001,Erzincan,0
Yerli,2001,Erzurum,24837
Yerli,2001,Eskisehir,22385
Yerli,2001,Gaziantep,0
Yerli,2001,Giresun,2678
Yerli,2001,Gumushane,0
Yerli,2001,Hakkari,0
Yerli,2001,Hatay,3000
Yerli,2001,Igdir,0
Yerli,2001,Isparta,0
Yerli,2001,Istanbul,800206
Yerli,2001,Izmir,47700
Yerli,2001,Kahramanmaras,0
Yerli,2001,Karabuk,0
Yerli,2001,Karaman,0
Yerli,2001,Kars,0
