year,city,n
2000,Adana,1495
2000,Adiyaman,350
2000,Afyonkarahisar,0
2000,Agri,0
2000,Aksaray,0
2000,Amasya,0
2000,Ankara,5321
2000,Antalya,650
2000,Ardahan,0
2000,Artvin,0
2000,Aydin,270
2000,Balikesir,0
2000,Bartin,237
2000,Batman,400
2000,Bayburt,0
2000,Bilecik,0
2000,Bingol,0
2000,Bitlis,0
2000,Bolu,0
2000,Burdur,0
2000,Bursa,1588
2000,Canakkale,0
2000,Cankiri,0
2000,Corum,600
2000,Denizli,0
2000,Diyarbakir,721
2000,Duzce,0
2000,Edirne,412
2000,Elazig,350
2000,Erzincan,0
2000,Erzurum,494
2000,Eskisehir,200
2000,Gaziantep,0
2000,Giresun,200
2000,Gumushane,0
2000,Hakkari,0
2000,Hatay,300
2000,Igdir,0
2000,Isparta,1000
2000,Istanbul,14962
2000,Izmir,5639
2000,Kahramanmaras,0
2000,Karabuk,0
2000,Karaman,0
2000,Kars,0
2000,Kastamonu,0
2000,Kayseri,0
2000,Kilis,0
2000,Kirikkale,0
2000,Kirklareli,0
2000,Kirsehir,0
2000,Kocaeli,535
2000,Konya,443
2000,Kutahya,0
2000,Malatya,300
2000,Manisa,0
2000,Mardin,0
2000,Mersin,120
2000,Mugla,288
2000,Mus,0
2000,Nevsehir,0
2000,Nigde,0
2000,Ordu,0
2000,Osmaniye,0
2000,Rize,0
2000,Sakarya,0
2000,Samsun,861
2000,Sanliurfa,0
2000,Siirt,0
2000,Sinop,0
2000,Sirnak,0
2000,Sivas,387
2000,Tekirdag,0
2000,Tokat,0
2000,Trabzon,550
2000,Tunceli,0
2000,Usak,0
2000,Van,928
2000,Yalova,185
2000,Yozgat,0
2000,Zonguldak,120
2001,Adana,1003
2001,Adiyaman,0
2001,Afyonkarahisar,0
2001,Agri,0
2001,Aksaray,0
2001,Amasya,0
2001,Ankara,4842
2001,Antalya,1781
2001,Ardahan,0
2001,Artvin,0
2001,Aydin,380
2001,Balikesir,0
2001,Bartin,400
2001,Batman,0
2001,Bayburt,0
2001,Bilecik,0
2001,Bingol,0
2001,Bitlis,0
2001,Bolu,0
2001,Burdur,0
2001,Bursa,1917
2001,Canakkale,0
2001,Cankiri,0
2001,Corum,418
2001,Denizli,0
2001,Diyarbakir,373
2001,Duzce,0
2001,Edirne,412
2001,Elazig,0
2001,Erzincan,0
2001,Erzurum,247
2001,Eskisehir,1152
2001,Gaziantep,0
2001,Giresun,200
2001,Gumushane,0
2001,Hakkari,0
2001,Hatay,300
2001,Igdir,0
2001,Isparta,0
2001,Istanbul,13363
2001,Izmir,5250
2001,Kahramanmaras,0
2001,Karabuk,0
2001,Karaman,0
2001,Kars,0
2001,Kastamonu,0
2001,Kayseri,0
