type,year,city,n
Yerli,2000,Adana,112
Yerli,2000,Adiyaman,6
Yerli,2000,Afyonkarahisar,0
Yerli,2000,Agri,0
Yerli,2000,Aksaray,0
Yerli,2000,Amasya,0
Yerli,2000,Ankara,1495
Yerli,2000,Antalya,214
Yerli,2000,Ardahan,0
Yerli,2000,Artvin,0
Yerli,2000,Aydin,50
Yerli,2000,Balikesir,0
Yerli,2000,Bartin,110
Yerli,2000,Batman,31
Yerli,2000,Bayburt,0
Yerli,2000,Bilecik,0
Yerli,2000,Bingol,0
Yerli,2000,Bitlis,0
Yerli,2000,Bolu,0
Yerli,2000,Burdur,0
Yerli,2000,Bursa,338
Yerli,2000,Canakkale,0
Yerli,2000,Cankiri,0
Yerli,2000,Corum,46
Yerli,2000,Denizli,0
Yerli,2000,Diyarbakir,177
Yerli,2000,Duzce,0
Yerli,2000,Edirne,65
Yerli,2000,Elazig,21
Yerli,2000,Erzincan,0
Yerli,2000,Erzurum,162
Yerli,2000,Eskisehir,35
Yerli,2000,Gaziantep,0
Yerli,2000,Giresun,27
Yerli,2000,Gumushane,0
Yerli,2000,Hakkari,0
Yerli,2000,Hatay,15
Yerli,2000,Igdir,0
Yerli,2000,Isparta,19
Yerli,2000,Istanbul,3366
Yerli,2000,Izmir,360
Yerli,2000,Kahramanmaras,0
Yerli,2000,Karabuk,0
Yerli,2000,Karaman,0
Yerli,2000,Kars,0
Yerli,2000,Kastamonu,0
Yerli,2000,Kayseri,0
Yerli,2000,Kilis,0
Yerli,2000,Kirikkale,0
Yerli,2000,Kirklareli,0
Yerli,2000,Kirsehir,0
Yerli,2000,Kocaeli,48
Yerli,2000,Konya,61
Yerli,2000,Kutahya,0
Yerli,2000,Malatya,31
Yerli,2000,Manisa,0
Yerli,2000,Mardin,0
Yerli,2000,Mersin,78
Yerli,2000,Mugla,3
Yerli,2000,Mus,0
Yerli,2000,Nevsehir,0
Yerli,2000,Nigde,0
Yerli,2000,Ordu,0
Yerli,2000,Osmaniye,0
Yerli,2000,Rize,0
Yerli,2000,Sakarya,0
Yerli,2000,Samsun,127
Yerli,2000,Sanliurfa,0
Yerli,2000,Siirt,0
Yerli,2000,Sinop,0
Yerli,2000,Sirnak,0
Yerli,2000,Sivas,97
Yerli,2000,Tekirdag,0
Yerli,2000,Tokat,0
Yerli,2000,Trabzon,172
Yerli,2000,Tunceli,0
Yerli,2000,Usak,0
Yerli,2000,Van,199
Yerli,2000,Yalova,40
Yerli,2000,Yozgat,0
Yerli,2000,Zonguldak,42
Yerli,2001,Adana,84
Yerli,2001,Adiyaman,0
Yerli,2001,Afyonkarahisar,0
Yerli,2001,Agri,0
Yerli,2001,Aksaray,0
Yerli,2001,Amasya,0
Yerli,2001,Ankara,1065
Yerli,2001,Antalya,278
Yerli,2001,Ardahan,0
Yerli,2001,Artvin,0
Yerli,2001,Aydin,57
Yerli,2001,Balikesir,0
Yerli,2001,Bartin,122
Yerli,2001,Batman,0
Yerli,2001,Bayburt,0
Yerli,2001,Bilecik,0
Yerli,2001,Bingol,0
Yerli,2001,Bitlis,0
Yerli,2001,Bolu,0
Yerli,2001,Burdur,0
Yerli,2001,Bursa,372
Yerli,2001,Canakkale,0
Yerli,2001,Cankiri,0
Yerli,2001,Corum,2
Yerli,2001,Denizli,0
Yerli,2001,Diyarbakir,106
Yerli,2001,Duzce,0
Yerli,2001,Edirne,75
Yerli,2001,Elazig,0
Yerli,2001,Erzincan,0
Yerli,2001,Erzurum,136
Yerli,2001,Eskisehir,121
Yerli,2001,Gaziantep,0
Yerli,2001,Giresun,21
Yerli,2001,Gumushane,0
Yerli,2001,Hakkari,0
Yerli,2001,Hatay,12
Yerli,2001,Igdir,0
Yerli,2001,Isparta,0
Yerli,2001,Istanbul,1740
Yerli,2001,Izmir,293
Yerli,2001,Kahramanmaras,0
Yerli,2001,Karabuk,0
Yerli,2001,Karaman,0
Yerli,2001,Kars,0
Yerli,2001,Kastamonu,0
Yerli,2001,Kayseri,0
Yerli,2001,Kilis,0
Yerli,2001,Kirikkale,0
Yerli,2001,Kirklareli,0
Yerli,2001,Kirsehir,0
Yerli,2001,Kocaeli,64
Yerli,2001,Konya,32
Yerli,2001,Kutahya,0
Yerli,2001,Malatya,37
Yerli,2001,Manisa,0
Yerli,2001,Mardin,0
Yerli,2001,Mersin,108
Yerli,2001,Mugla,2
Yerli,2001,Mus,0
Yerli,2001,Nevsehir,0
Yerli,2001,Nigde,0
Yerli,2001,Ordu,98
Yerli,2001,Osmaniye,0
Yerli,2001,Rize,0
Yerli,2001,Sakarya,0
Yerli,2001,Samsun,247
Yerli,2001,Sanliurfa,0
Yerli,2001,Siirt,0
Yerli,2001,Sinop,0
Yerli,2001,Sirnak,0
Yerli,2001,Sivas,152
Yerli,2001,Tekirdag,0
Yerli,2001,Tokat,0
Yerli,2001,Trabzon,143
Yerli,2001,Tunceli,0
Yerli,2001,Usak,0
Yerli,2001,Van,135
Yerli,2001,Yalova,0
Yerli,2001,Yozgat,0
Yerli,2001,Zonguldak,65
Yerli,2002,Adana,78
Yerli,2002,Adiyaman,0
Yerli,2002,Afyonkarahisar,0
Yerli,2002,Agri,0
Yerli,2002,Aksaray,0
Yerli,2002,Amasya,0
Yerli,2002,Ankara,2531
Yerli,2002,Antalya,141
Yerli,2002,Ardahan,0
Yerli,2002,Artvin,0
Yerli,2002,Aydin,371
Yerli,2002,Balikesir,0
Yerli,2002,Bartin,80
Yerli,2002,Batman,0
Yerli,2002,Bayburt,0
Yerli,2002,Bilecik,0
Yerli,2002,Bingol,0
Yerli,2002,Bitlis,0
Yerli,2002,Bolu,0
Yerli,2002,Burdur,0
Yerli,2002,Bursa,145
Yerli,2002,Canakkale,0
Yerli,2002,Cankiri,0
Yerli,2002,Corum,0
Yerli,2002,Denizli,0
Yerli,2002,Diyarbakir,88
Yerli,2002,Duzce,0
Yerli,2002,Edirne,0
Yerli,2002,Elazig,1
Yerli,2002,Erzincan,0
Yerli,2002,Erzurum,89
Yerli,2002,Eskisehir,195
Yerli,2002,Gaziantep,0
Yerli,2002,Giresun,22
Yerli,2002,Gumushane,0
Yerli,2002,Hakkari,0
Yerli,2002,Hatay,24
Yerli,2002,Igdir,0
Yerli,2002,Isparta,2
Yerli,2002,Istanbul,1643
Yerli,2002,Izmir,396
Yerli,2002,Kahramanmaras,31
Yerli,2002,Karabuk,0
Yerli,2002,Karaman,0
Yerli,2002,Kars,0
Yerli,2002,Kastamonu,0
Yerli,2002,Kayseri,52
Yerli,2002,Kilis,0
Yerli,2002,Kirikkale,0
Yerli,2002,Kirklareli,0
Yerli,2002,Kirsehir,0
Yerli,2002,Kocaeli,0
Yerli,2002,Konya,60
Yerli,2002,Kutahya,0
Yerli,2002,Malatya,0
Yerli,2002,Manisa,0
Yerli,2002,Mardin,0
Yerli,2002,Mersin,72
Yerli,2002,Mugla,4
Yerli,2002,Mus,0
Yerli,2002,Nevsehir,0
Yerli,2002,Nigde,0
Yerli,2002,Ordu,0
Yerli,2002,Osmaniye,0
Yerli,2002,Rize,0
Yerli,2002,Sakarya,0
Yerli,2002,Samsun,256
Yerli,2002,Sanliurfa,0
Yerli,2002,Siirt,0
Yerli,2002,Sinop,0
Yerli,2002,Sirnak,0
Yerli,2002,Sivas,115
Yerli,2002,Tekirdag,0
Yerli,2002,Tokat,125
Yerli,2002,Trabzon,82
Yerli,2002,Tunceli,0
Yerli,2002,Usak,0
Yerli,2002,Van,95
Yerli,2002,Yalova,0
Yerli,2002,Yozgat,0
Yerli,2002,Zonguldak,8
Yerli,2003,Adana,783
Yerli,2003,Adiyaman,0
Yerli,2003,Afyonkarahisar,0
Yerli,2003,Agri,0
Yerli,2003,Aksaray,0
Yerli,2003,Amasya,0
Yerli,2003,Ankara,1531
Yerli,2003,Antalya,136
Yerli,2003,Ardahan,0
Yerli,2003,Artvin,0
Yerli,2003,Aydin,26
Yerli,2003,Balikesir,0
Yerli,2003,Bartin,0
Yerli,2003,Batman,0
Yerli,2003,Bayburt,0
Yerli,2003,Bilecik,0
Yerli,2003,Bingol,0
Yerli,2003,Bitlis,0
Yerli,2003,Bolu,0
Yerli,2003,Burdur,0
Yerli,2003,Bursa,190
Yerli,2003,Canakkale,0
Yerli,2003,Cankiri,0
Yerli,2003,Corum,0
Yerli,2003,Denizli,0
Yerli,2003,Diyarbakir,133
Yerli,2003,Duzce,0
Yerli,2003,Edirne,0
Yerli,2003,Elazig,3
Yerli,2003,Erzincan,0
Yerli,2003,Erzurum,95
Yerli,2003,Eskisehir,0
Yerli,2003,Gaziantep,0
Yerli,2003,Giresun,61
Yerli,2003,Gumushane,0
Yerli,2003,Hakkari,0
