type,year,city,n
Yerli,2000,Adana,15
Yerli,2000,Adiyaman,2
Yerli,2000,Afyonkarahisar,0
Yerli,2000,Agri,0
Yerli,2000,Aksaray,0
Yerli,2000,Amasya,0
Yerli,2000,Ankara,114
Yerli,2000,Antalya,7
Yerli,2000,Ardahan,0
Yerli,2000,Artvin,0
Yerli,2000,Aydin,3
Yerli,2000,Balikesir,0
Yerli,2000,Bartin,4
Yerli,2000,Batman,7
Yerli,2000,Bayburt,0
Yerli,2000,Bilecik,0
Yerli,2000,Bingol,0
Yerli,2000,Bitlis,0
Yerli,2000,Bolu,0
Yerli,2000,Burdur,0
Yerli,2000,Bursa,16
Yerli,2000,Canakkale,0
Yerli,2000,Cankiri,0
Yerli,2000,Corum,11
Yerli,2000,Denizli,0
Yerli,2000,Diyarbakir,7
Yerli,2000,Duzce,0
Yerli,2000,Edirne,65
Yerli,2000,Elazig,10
Yerli,2000,Erzincan,0
Yerli,2000,Erzurum,6
Yerli,2000,Eskisehir,2
Yerli,2000,Gaziantep,0
Yerli,2000,Giresun,3
Yerli,2000,Gumushane,0
Yerli,2000,Hakkari,0
Yerli,2000,Hatay,3
Yerli,2000,Igdir,0
Yerli,2000,Isparta,1
Yerli,2000,Istanbul,188
Yerli,2000,Izmir,28
Yerli,2000,Kahramanmaras,0
Yerli,2000,Karabuk,0
Yerli,2000,Karaman,0
Yerli,2000,Kars,0
Yerli,2000,Kastamonu,0
Yerli,2000,Kayseri,0
Yerli,2000,Kilis,0
Yerli,2000,Kirikkale,0
Yerli,2000,Kirklareli,0
Yerli,2000,Kirsehir,0
Yerli,2000,Kocaeli,5
Yerli,2000,Konya,3
Yerli,2000,Kutahya,0
Yerli,2000,Malatya,6
Yerli,2000,Manisa,0
Yerli,2000,Mardin,0
Yerli,2000,Mersin,2
Yerli,2000,Mugla,2
Yerli,2000,Mus,0
Yerli,2000,Nevsehir,0
Yerli,2000,Nigde,0
Yerli,2000,Ordu,0
Yerli,2000,Osmaniye,0
Yerli,2000,Rize,0
